Key,Summary,Status,Affected Versions
HIVE-25499,select unix_timestamp(dt) from table and select unix_timestamp(constant date)  are different,Resolved,3.1.2
HIVE-25458,unix_timestamp() with string input give wrong result,Closed,3.1.2
HIVE-25443,Arrow SerDe Cannot serialize/deserialize complex data types When there are more than 1024 values,Closed,"3.1.0, 3.0.0, 3.1.1, 3.1.2"
HIVE-25416,Hive metastore memory leak because datanucleus-api-jdo bug,Closed,3.1.2
HIVE-25408,AlterTableSetOwnerAnalyzer should send Hive Privilege Objects for Authorization. ,Resolved,4.0.0
HIVE-25386,hive-storage-api should not have guava compile dependency,Resolved,4.0.0
HIVE-25384,Bump ORC to 1.6.9,Closed,4.0.0
HIVE-25382,"""No space left on device"" error when running show database",Resolved,2.3.2
HIVE-25316,Map partition key columns when pushing TNK op through select,Resolved,4.0.0
HIVE-25299,Casting timestamp to numeric data types is incorrect for non-UTC timezones,Closed,"3.1.2, 4.0.0"
HIVE-25298,LAG function get java.lang.ClassCastException: org.apache.hadoop.hive.common.type.HiveDecimal cannot be cast to org.apache.hadoop.hive.serde2.io.HiveDecimalWritable,Closed,3.1.2
HIVE-25268,date_format udf returns wrong results for dates prior to 1900 if the local timezone is other than UTC,Closed,"3.1.0, 3.1.1, 3.1.2, 4.0.0"
HIVE-25262,Hive lineage dir does not have any log？,Resolved,2.1.1
HIVE-25242, Query performs extremely slow with hive.vectorized.adaptor.usage.mode = chosen,Closed,4.0.0
HIVE-25219,Backward incompatible timestamp serialization in Avro for certain timezones,Closed,3.1.0
HIVE-25188,JsonSerDe: Unable to read the string value from a nested json,Resolved,4.0.0
HIVE-25170,Data error in constant propagation caused by wrong colExprMap generated in SemanticAnalyzer,Closed,3.1.2
HIVE-25163,UnsupportedTemporalTypeException when starting llap,Closed,4.0.0
HIVE-25156,reduce数设置为2后，查出的数据减少一半,Resolved,3.1.2
HIVE-25150,Tab characters are not removed before decimal conversion similar to space character which is fixed as part of HIVE-24378,Closed,4.0.0
HIVE-25117,Vector PTF ClassCastException with Decimal64,Closed,4.0.0
HIVE-25104,Backward incompatible timestamp serialization in Parquet for certain timezones,Closed,3.1.0
HIVE-25093,date_format() UDF is returning output in UTC time zone only ,Closed,3.1.2
HIVE-25060,Hive Compactor doesn´t launch cleaner,Resolved,3.1.1
HIVE-25041,"During ""schematool --verbose -dbType derby -initSchema"" I'm getting ""utocommit on"" (with a missing ''a"").",Resolved,3.1.2
HIVE-25009,Compaction worker and initiator version check can cause NPE if the COMPACTION_QUEUE is empty,Closed,4.0.0
HIVE-24964,Backport HIVE-22453: Describe table unnecessarily fetches partitions,Closed,"3.0.0, 3.1.1, 3.1.2"
HIVE-24957,Wrong results when subquery has COALESCE in correlation predicate,Closed,4.0.0
HIVE-24951,Table created with Uppercase name using CTAS does not produce result for select queries,Closed,4.0.0
HIVE-24949,Fail to rename a partition with customized catalog,Closed,3.1.2
HIVE-24944,"When the default engine of the hiveserver is MR and the tez engine is set by the client, the client TEZ progress log cannot be printed normally",Resolved,"3.1.0, 4.0.0"
HIVE-24928,In case of non-native tables use basic statistics from HiveStorageHandler,Closed,4.0.0
HIVE-24915,Distribute by with sort by clause when used with constant parameter for sort produces wrong result.,Resolved,2.3.4
HIVE-24907,Wrong results with LEFT JOIN and subqueries with UNION and GROUP BY,Closed,"2.4.0, 3.2.0"
HIVE-24902,Incorrect result after fold CASE into COALESCE,Closed,"3.1.2, 4.0.0"
HIVE-24898,Beeline does not honor the credential provided in property-file,Closed,4.0.0
HIVE-24882,Compaction task reattempt fails with FileAlreadyExistsException for DeleteEventWriter,Closed,4.0.0
HIVE-24876,Disable /longconf.jsp page on HS2 web UI for non admin users,Closed,4.0.0
HIVE-24851,resources leak on exception in AvroGenericRecordReader constructor,Closed,"3.1.2, 4.0.0"
HIVE-24849,Create external table socket timeout when location has large number of files,Closed,"2.3.4, 3.1.2, 4.0.0"
HIVE-24848,CBO failed with NPE,Resolved,3.1.1
HIVE-24809,Build failure while resolving javax.el dependency,Closed,4.0.0
HIVE-24807,Unknown column 'B0.CATALOG_NAME' in 'where clause',Resolved,3.1.0
HIVE-24803,WorkloadManager doesn't update allocation and metrics after Kill Trigger action,Closed,4.0.0
HIVE-24786,JDBC HttpClient should retry for idempotent and unsent http methods,Closed,4.0.0
HIVE-24751,"Kill trigger in workload manager fails with ""No privilege"" exception when authorization is disabled.",Closed,4.0.0
HIVE-24691,Ban commons-logging (again),Resolved,4.0.0
HIVE-24689,Changing file format (from ORC) is not supported for table xxx,Resolved,3.1.2
HIVE-24653,Race condition between compactor marker generation and get splits,Closed,3.1.2
HIVE-24636,Memory leak due to stacking UDFClassLoader in Apache Commons LogFactory,Closed,3.1.0
HIVE-24608,Switch back to get_table in HMS client for Hive 2.3.x,Resolved,2.3.7
HIVE-24606,Multi-stage materialized CTEs can lose intermediate data,Closed,"2.3.7, 3.1.2, 4.0.0"
HIVE-24595,Vectorization causing incorrect results for scalar subquery,Closed,3.0.0
HIVE-24579,Incorrect Result For Groupby With Limit,Closed,"2.3.7, 3.1.2, 4.0.0"
HIVE-24573,hive 3.1.2 drop table Sometimes it can't be deleted,Resolved,3.1.2
HIVE-24570,Hive on spark tmp file should be delete when driver process finished,Closed,"3.1.0, 4.0.0"
HIVE-24569,LLAP daemon leaks file descriptors/log4j appenders,Closed,2.2.0
HIVE-24553,Exclude calcite from test-jar dependency of hive-exec,Resolved,2.3.8
HIVE-24551,Hive should include transitive dependencies from calcite after shading it,Resolved,2.3.8
HIVE-24550,Cleanup only transaction information for the current DriverContext,Closed,4.0.0
HIVE-24530,Potential NPE in FileSinkOperator.closeRecordwriters method,Closed,4.0.0
HIVE-24523,Vectorized read path for LazySimpleSerde does not honor the SERDEPROPERTIES for timestamp,Closed,"3.2.0, 4.0.0"
HIVE-24517,Add mapreduce workflow information to job configuration in MergeFileTask,Resolved,3.1.2
HIVE-24514,UpdateMDatabaseURI does not update managed location URI,Resolved,4.0.0
HIVE-24512,Exclude calcite in packaging Hive,Resolved,2.3.8
HIVE-24501,UpdateInputAccessTimeHook should not update stats,Closed,4.0.0
HIVE-24467,ConditionalTask remove tasks that not selected exists thread safety problem,Closed,"1.1.0, 2.3.4, 3.1.2"
HIVE-24446,Materialized View plan alters explicit cast type in query,Closed,4.0.0
HIVE-24406,HiveConf creation in HiveMetastore's getMS() call adds ~100ms latency,Resolved,2.3.4
HIVE-24404,Hive getUserName close db makes client operations lost metaStoreClient connection,Closed,"2.3.7, 3.1.3, 4.0.0-alpha-1"
HIVE-24345,Re-enable flaky test: TestCleanupService#testEventualCleanupService_finishesCleanupBeforeExit,Closed,4.0.0
HIVE-24342,isPathEncrypted should make sure resolved path also from HDFS,Closed,3.1.2
HIVE-24322,"In case of direct insert, the attempt ID has to be checked when reading the manifest files",Closed,4.0.0
HIVE-24319,unnecessary characters in hive-site.xml file in version 3.1.2,Resolved,3.1.2
HIVE-24316,Upgrade ORC from 1.5.6 to 1.5.8 in branch-3.1,Closed,3.1.3
HIVE-24293,Integer overflow in llap collision mask,Closed,4.0.0
HIVE-24288,Files created by CompileProcessor have incorrect permissions,Closed,3.1.0
HIVE-24256,REPL LOAD fails because of unquoted column name,Closed,4.0.0
HIVE-24245,Vectorized PTF with count and distinct over partition producing incorrect results.,Closed,"3.1.0, 3.1.2"
HIVE-24218,Drop table used by a materialized view,Resolved,3.1.0
HIVE-24213,Incorrect exception in the Merge MapJoinTask into its child MapRedTask optimizer,Closed,4.0.0
